,user,word,description
35,6,страус,"великий птах, який не може літати, але біжить дуже швидко, іноді використовується для верхової їзди"
36,6,курка,"домашня птиця, яка майже не літає, квакає, використовується людиною переважно в їжу"
37,6,пінгвін,"птах, який не може літати, але дуже добре плаває і пірнає, пересувається сушею перевізником"
38,6,сова,"мудра птиця, яка веде нічний спосіб життя, має великі очі, харчується гризунами, майже не приручається"
39,6,лебідь,"птах з довгою шиєю поєднує в собі дві стихії - повітря і воду, є птахом життя (білий) і в той же час може представляти смерть (чорний)"
40,6,морквина,"овочева рослина, що використовується переважно в їжу, багата кератином, іноді використовується як ніс сніговика"
41,6,яблуко,"фрукти, переважно круглі, різного кольору, різного розміру, для когось це ""заборонений фрукт"""
42,6,банан,"один з найпопулярніших і корисних фруктів, має цікаву форму, розмір і колір можуть сильно відрізнятися"
43,6,картопля,"корінь, який в основному використовується в їжу, дуже багатий крохмалем, росте в різних розмірах, листя цього чагарника дуже люблять колорадського жука"
44,6,лимон,"жовті плоди, багаті вітаміном С, приємні на смак, але дуже кислі, можна вирощувати в домашніх умовах"
45,7,кінь,У підкованого тварини великі зуби.
46,7,зебра,Кінь у чорно-білій смузі.
47,7,корова,"Харчується травою, сіном, дає молоко, великих розмірів."
48,7,ведмідь,"Велика, хижа тварина з великими гострими кігтями."
49,7,олень,"Рослиноїдна тварина з великими скрученими рогами, вона живе в дикій природі."
50,7,страус,"Птах, що швидко біжить, має довгі ноги і шию."
51,7,курка,"Домашній птах, м’ясо якого найчастіше вживають."
52,7,пінгвін,"Птах, який не літає, але має крила."
53,7,сова,"Нічний хижий птах, з великими очима, коричневий."
54,7,лебідь,"Некрасиве каченя, може літати, жовтий дзьоб, знаходяться попарно."
55,7,морквина,"Довгастий, помаранчевий овоч, який росте в землі."
56,7,яблуко,"Зелений, червоний або жовтий, круглий на вигляд, корисний для імунітету."
57,7,банан,"Жовтий, довгастий плід, дієтичний та солодкий, без кісточок."
58,7,картопля,"Родина бобових, у якої проростають кільця, росте в землі."
59,7,лимон,"Фрукти, кислі на смак, часто додають до чаю як лікувальний ефект."
120,1,кінь,Цю тварину садять на сідло і їде
121,2,кінь,Використовується як головна тварина кавалерії
122,3,кінь,Як зебра лише без кольорових смужок
123,1,зебра,"Чорно-біла тварина, цю назву ще називають дорожньою розміткою"
124,2,зебра,Дикий смугастий кінь
125,3,зебра,"Популярна тварина в зоопарку, схожа на чорно-білого коня"
126,1,корова,"Тварина, яка живе на фермі, дає молоко та телят"
127,2,корова,"Парнокопитні, домашні тварини, дають молоко, іноді чорно-біле або коричневе"
128,3,корова,"Самка великої рогатої худоби - бик, дає молоко."
129,1,ведмідь,"Дуже небезпечна велика тварина, яка живе в лісі"
130,2,ведмідь,"Небезпечна тварина, іноді біла або коричнева"
131,3,ведмідь,Небезпечна тварина з густим хутром і сильними лапами з великими кігтями
132,1,олень,Витончена тварина з великими рогами
133,2,олень,Тварина схожа на коня з великими красивими рогами
134,3,олень,"Тварина, яка живе в лісі, самці мають роги"
135,1,страус,Швидкий птах з великими ногами і довгою шиєю
136,2,страус,"Птах з міцною статурою, довгою шиєю і маленькою головою."
137,3,страус,"Цей птах має довгу шию, слабо розвинені крила і сильні ноги"
138,1,курка,"Домашня птиця, продуктом якої є яйця"
139,2,курка,"Птах, який дає яйця"
140,3,курка,"Птах, вирощений на фермі"
141,1,пінгвін,"Птах, всі члени цієї родини добре плавають і пірнають"
142,2,пінгвін,"Нелітаючий птах, який живе на холодних стовпах"
143,3,пінгвін,"Темно-синій або чорний птах з білим черевом, не літає"
144,1,сова,Цей птах є символом мудрості у багатьох народів
145,2,сова,"Птах, який може повернути голову на триста шістдесят градусів і не спить вночі"
146,3,сова,"Нічний птах з великими очима, полює вночі"
147,1,лебідь,"Витончений білий птах з довгою шиєю, герой твору - гидке каченя"
148,2,лебідь,"Білий птах з довгою шиєю, що плаває в озерах"
149,3,лебідь,Цей птах є символом любові
150,1,морквина,"Апельсиновий овоч росте в землі, має великий верх зверху"
151,2,морквина,"Помаранчевий овоч, який зайці їдять у мультфільмах"
152,3,морквина,"Апельсиновий овоч, що росте в землі, має зелену бруньку"
153,1,яблуко,"Плід має вигляд червоних, зелених та жовтих кулястих плодів діаметром 5-13 см"
154,2,яблуко,Круглі фрукти з кісточками всередині
155,3,яблуко,Популярне плодівництво на деревах буває різних кольорів
156,1,банан,"Жовтий довгастий плід, він дуже популярний серед мавп"
157,2,банан,"Плоди бувають різних сортів та видів, часто довгі та жовті з шкіркою"
158,3,банан,На пальмах ростуть тропічні фрукти
159,1,картопля,"Овочі, які можна смажити, варити, робити з них деруни або пюре"
160,2,картопля,"Овочі, які ростуть у землі, мають тонку шкірку, можна смажити"
161,3,картопля,Бульби цього овоча є важливим харчовим продуктом. Можна готувати в мундирі
162,1,лимон,Кислий круглий жовтий цитрус
163,2,лимон,"Фрукти, з яких виготовляють або додають лимонад до чаю"
164,3,лимон,"Плід належить до сімейства цитрусових, має жовтий колір і кислий смак"
